,id_name,division_name,years,month,temp
557,0,Barisal,1947,6,28
558,0,Barisal,1947,7,28
559,0,Barisal,1947,8,28
560,0,Barisal,1947,9,28
561,0,Barisal,1947,10,26
562,0,Barisal,1947,11,23
563,0,Barisal,1947,12,20
564,0,Barisal,1948,1,18
565,0,Barisal,1948,2,20
566,0,Barisal,1948,3,24
567,0,Barisal,1948,4,27
568,0,Barisal,1948,5,27
569,0,Barisal,1948,6,28
570,0,Barisal,1948,7,27
571,0,Barisal,1948,8,27
572,0,Barisal,1948,9,28
573,0,Barisal,1948,10,26
574,0,Barisal,1948,11,23
575,0,Barisal,1948,12,18
576,0,Barisal,1949,1,18
577,0,Barisal,1949,2,20
578,0,Barisal,1949,3,24
579,0,Barisal,1949,4,25
580,0,Barisal,1949,5,26
581,0,Barisal,1949,6,27
582,0,Barisal,1949,7,27
583,0,Barisal,1949,8,27
584,0,Barisal,1949,9,27
585,0,Barisal,1949,10,27
586,0,Barisal,1949,11,22
587,0,Barisal,1949,12,17
588,0,Barisal,1950,1,18
589,0,Barisal,1950,2,20
590,0,Barisal,1950,3,24
591,0,Barisal,1950,4,27
592,0,Barisal,1950,5,28
593,0,Barisal,1950,6,27
594,0,Barisal,1950,7,27
595,0,Barisal,1950,8,27
596,0,Barisal,1950,9,28
597,0,Barisal,1950,10,26
598,0,Barisal,1950,11,22
599,0,Barisal,1950,12,19
600,0,Barisal,1951,1,17
601,0,Barisal,1951,2,20
602,0,Barisal,1951,3,24
603,0,Barisal,1951,4,27
604,0,Barisal,1951,5,28
605,0,Barisal,1951,6,28
606,0,Barisal,1951,7,27
607,0,Barisal,1951,8,28
608,0,Barisal,1951,9,28
609,0,Barisal,1951,10,27
610,0,Barisal,1951,11,23
611,0,Barisal,1951,12,20
612,0,Barisal,1952,1,18
613,0,Barisal,1952,2,21
614,0,Barisal,1952,3,24
615,0,Barisal,1952,4,27
616,0,Barisal,1952,5,27
617,0,Barisal,1952,6,28
618,0,Barisal,1952,7,27
619,0,Barisal,1952,8,28
620,0,Barisal,1952,9,27
621,0,Barisal,1952,10,26
622,0,Barisal,1952,11,23
623,0,Barisal,1952,12,19
624,0,Barisal,1953,1,17
625,0,Barisal,1953,2,21
626,0,Barisal,1953,3,26
627,0,Barisal,1953,4,28
628,0,Barisal,1953,5,28
629,0,Barisal,1953,6,27
630,0,Barisal,1953,7,27
631,0,Barisal,1953,8,28
632,0,Barisal,1953,9,27
633,0,Barisal,1953,10,26
634,0,Barisal,1953,11,22
635,0,Barisal,1953,12,20
636,0,Barisal,1954,1,17
637,0,Barisal,1954,2,22
638,0,Barisal,1954,3,25
639,0,Barisal,1954,4,29
640,0,Barisal,1954,5,28
641,0,Barisal,1954,6,27
642,0,Barisal,1954,7,27
643,0,Barisal,1954,8,28
644,0,Barisal,1954,9,28
645,0,Barisal,1954,10,25
646,0,Barisal,1954,11,21
647,0,Barisal,1954,12,19
648,0,Barisal,1955,1,17
649,0,Barisal,1955,2,20
650,0,Barisal,1955,3,25
651,0,Barisal,1955,4,27
652,0,Barisal,1955,5,28
653,0,Barisal,1955,6,28
654,0,Barisal,1955,7,27
655,0,Barisal,1955,8,27
656,0,Barisal,1955,9,27
657,0,Barisal,1955,10,27
658,0,Barisal,1955,11,23
659,0,Barisal,1955,12,18
660,0,Barisal,1956,1,18
661,0,Barisal,1956,2,19
662,0,Barisal,1956,3,25
663,0,Barisal,1956,4,27
664,0,Barisal,1956,5,28
665,0,Barisal,1956,6,27
666,0,Barisal,1956,7,27
667,0,Barisal,1956,8,27
668,0,Barisal,1956,9,27
669,0,Barisal,1956,10,26
670,0,Barisal,1956,11,22
671,0,Barisal,1956,12,19
672,0,Barisal,1957,1,18
673,0,Barisal,1957,2,19
674,0,Barisal,1957,3,24
675,0,Barisal,1957,4,28
676,0,Barisal,1957,5,29
677,0,Barisal,1957,6,28
678,0,Barisal,1957,7,28
679,0,Barisal,1957,8,28
680,0,Barisal,1957,9,28
681,0,Barisal,1957,10,26
682,0,Barisal,1957,11,22
683,0,Barisal,1957,12,19
684,0,Barisal,1958,1,19
685,0,Barisal,1958,2,20
686,0,Barisal,1958,3,25
687,0,Barisal,1958,4,28
688,0,Barisal,1958,5,28
689,0,Barisal,1958,6,29
690,0,Barisal,1958,7,28
691,0,Barisal,1958,8,27
692,0,Barisal,1958,9,28
693,0,Barisal,1958,10,27
694,0,Barisal,1958,11,23
695,0,Barisal,1958,12,20
